replication	sample	demand_type	total_demand	selected_count	selected	context_market	context_trend	context_promotion	context_attention
2	29	CONDITIONAL_MEAN	1642.7122357278	9	0|2|3|4|6|7|8|9|10	0.4563741074	0.4833333333	0.3233804837	0.2152309604
2	30	REALIZED	2060.6344161841	9	0|3|4|6|7|8|9|10|11	0.6935799215	0.5000000000	0.9514615305	0.3487556906
2	30	CONDITIONAL_MEAN	2185.7610690236	9	1|2|4|6|7|8|9|10|11	0.6935799215	0.5000000000	0.9514615305	0.3487556906
2	31	REALIZED	1819.0099231939	9	0|2|4|6|7|8|9|10|11	0.7716672443	0.5166666667	0.6240179234	0.1536830191
2	31	CONDITIONAL_MEAN	1946.4705111428	9	0|1|4|6|7|8|9|10|11	0.7716672443	0.5166666667	0.6240179234	0.1536830191
2	32	REALIZED	1997.2822351113	9	0|3|4|5|6|8|9|10|11	0.8808541651	0.5333333333	0.9385472855	0.6681032529
2	32	CONDITIONAL_MEAN	2419.2103614654	9	1|2|4|6|7|8|9|10|11	0.8808541651	0.5333333333	0.9385472855	0.6681032529
2	33	REALIZED	2041.1534383304	9	1|2|3|5|6|8|9|10|11	0.1829802172	0.5500000000	0.6056044960	0.1608652674
2	33	CONDITIONAL_MEAN	1697.3607219444	9	0|3|4|6|7|8|9|10|11	0.1829802172	0.5500000000	0.6056044960	0.1608652674
2	34	REALIZED	1749.0624812124	9	0|3|4|6|7|8|9|10|11	0.3305028168	0.5666666667	0.0614036439	0.5458247377
2	34	CONDITIONAL_MEAN	1620.7528013244	9	0|2|3|4|6|7|8|9|10	0.3305028168	0.5666666667	0.0614036439	0.5458247377
2	35	REALIZED	1891.1285243696	9	0|4|5|6|7|8|9|10|11	0.4576925480	0.5833333333	0.2170321722	0.8548485482
2	35	CONDITIONAL_MEAN	1915.1031090053	9	0|2|4|6|7|8|9|10|11	0.4576925480	0.5833333333	0.2170321722	0.8548485482
2	36	REALIZED	2007.7100306185	9	3|4|5|6|7|8|9|10|11	0.2250056765	0.6000000000	0.8419653659	0.2066276506
2	36	CONDITIONAL_MEAN	1899.7909578260	9	0|1|4|6|7|8|9|10|11	0.2250056765	0.6000000000	0.8419653659	0.2066276506
2	37	REALIZED	1418.6992929774	9	0|3|4|6|7|8|9|10|11	0.9157936784	0.6166666667	0.0032712531	0.5928166080
2	37	CONDITIONAL_MEAN	1886.9365742695	9	0|2|4|6|7|8|9|10|11	0.9157936784	0.6166666667	0.0032712531	0.5928166080
2	38	REALIZED	2060.1682213995	9	2|3|4|5|6|8|9|10|11	0.6526274368	0.6333333333	0.2352517344	0.4631104974
