replication	volatility	capacity_scale	method	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
2	HIGH	0.75	CSAA	Optimal	true	104183.8771494606	7.567548460e-05	1.322377	9	0|2|3|4|6|8|9|10|11	130796.8812681607	66204.3563681802	255335.4583896948	307145.1842542175	478774.8836836038	0.2203525604	892.7280924370	0.6046774908
2	HIGH	0.60	D	Optimal	true	87963.3040317606	1.156683178e-06	0.008092	9	0|1|4|5|6|8|9|10|11	145708.3298690587	69718.0937263693	277294.0690805321	329942.0462498874	503079.6555794413	0.2834524686	2193.3074010133	0.6841446424
2	HIGH	0.60	SAA	Optimal	true	114301.9161856743	2.732972693e-08	1.441784	9	0|2|3|4|6|8|9|10|11	145270.3259365633	70229.7587130923	276588.3424505433	329943.3270760593	501646.5693800616	0.2942977320	1297.3495342066	0.6841590426
2	HIGH	0.60	CSAA	Optimal	true	115830.2111312777	3.344829576e-05	1.339697	9	0|2|3|4|6|8|9|10|11	145270.3259365633	70229.7587130923	276588.3424505433	329943.3270760593	501646.5693800616	0.2942977320	1297.3495342066	0.6841590426
3	LOW	1.00	D	Optimal	true	66163.8982244349	0.000000000	0.006030	9	0|1|4|5|6|7|8|9|10	70267.0975832193	8606.4637846672	85926.7753629632	92713.9195971979	111270.9022154896	0.0009699950	452.2054611020	0.4366172714
3	LOW	1.00	SAA	Optimal	true	68347.7203858837	0.000000000	0.650310	9	0|1|4|5|6|7|8|9|10	70267.0975832193	8606.4637846672	85926.7753629632	92713.9195971979	111270.9022154896	0.0009699950	452.2054611020	0.4366172714
3	LOW	1.00	CSAA	Optimal	true	70026.3408981221	0.000000000	0.686694	9	0|1|4|5|6|7|8|9|10	70267.0975832193	8606.4637846672	85926.7753629632	92713.9195971979	111270.9022154896	0.0009699950	452.2054611020	0.4366172714
3	LOW	0.75	D	Optimal	true	73662.6219285142	0.000000000	0.005652	9	0|1|4|5|6|7|8|9|10	80071.3402290312	12094.9159843553	102763.0853825305	112080.1669490239	132664.5850759613	0.0090073367	198.0279623826	0.5774728292
3	LOW	0.75	SAA	Optimal	true	78094.9251898217	0.000000000	0.924734	9	0|1|4|5|6|7|8|9|10	80071.3402290312	12094.9159843553	102763.0853825305	112080.1669490239	132664.5850759613	0.0090073367	198.0279623826	0.5774728292
3	LOW	0.75	CSAA	Optimal	true	80278.8475416721	0.000000000	0.959567	9	0|1|4|5|6|7|8|9|10	80071.3402290312	12094.9159843553	102763.0853825305	112080.1669490239	132664.5850759613	0.0090073367	198.0279623826	0.5774728292
3	LOW	0.60	D	Optimal	true	84821.6790796641	0.000000000	0.005324	9	0|1|4|5|6|7|8|9|10	92454.9731103570	15482.1093418729	122279.3874116827	131804.2521719994	151262.1036541291	0.0328694859	15.9115847142	0.7044597993
3	LOW	0.60	SAA	Optimal	true	89602.3551135864	0.000000000	1.208133	9	0|1|4|5|6|7|8|9|10	92454.9731103570	15482.1093418729	122279.3874116827	131804.2521719994	151262.1036541291	0.0328694859	15.9115847142	0.7044597993
