replication	market_structure	sample	demand_type	total_demand	free_count	fixed_count	total_cost	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	selected_capacity	selected_mqc	covered_lanes	capacity_short_lanes	lane_capacity_shortfall	selected
1	PERSISTENT_WIDE_MQC_1.25	0	CONDITIONAL_MEAN	2302.3516806904	9	7	134561.1670827526	121651.0372467553	12910.1298359972	0.0000000000	131.8392906315	0.0000000000	2723.6081811370	1319.6837740978	20	10	131.8392906315	2|3|4|5|7|8|9
1	PERSISTENT_WIDE_MQC_1.25	0	CONDITIONAL_MEAN	2302.3516806904	9	8	131640.4153063693	126949.0222617383	4691.3930446310	0.0000000000	47.2138051705	0.0000000000	3001.6843418743	1454.3264411255	20	8	47.2138051705	2|3|4|5|7|8|9|10
1	PERSISTENT_WIDE_MQC_1.25	0	CONDITIONAL_MEAN	2302.3516806904	9	9	129804.2277048708	128355.5529082676	1448.6747966032	0.0000000000	16.0394739790	0.0000000000	3380.1810725932	1608.6070225205	20	5	16.0394739790	1|2|3|4|5|7|8|9|10
1	PERSISTENT_WIDE_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	2	211076.9032794273	62970.8069075462	148106.0963718812	0.0000000000	1247.4848002178	0.0000000000	1054.8668804726	655.4775045541	13	20	1247.4848002178	3|7
1	PERSISTENT_WIDE_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	3	185430.4891598940	90932.4244610761	94498.0646988180	0.0000000000	836.2419327434	0.0000000000	1466.1097479470	850.5307749123	15	20	836.2419327434	3|7|8
1	PERSISTENT_WIDE_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	4	165125.9517264720	104432.8308665326	60693.1208599395	0.0000000000	579.2811359400	0.0000000000	1771.1505875206	1106.2678342553	19	17	579.2811359400	3|4|7|8
1	PERSISTENT_WIDE_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	5	151485.3191366007	110392.8597877017	41092.4593488991	0.0000000000	419.2559905568	0.0000000000	2076.9771008404	1238.9176489631	20	15	419.2559905568	3|4|5|7|8
1	PERSISTENT_WIDE_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	6	141313.0897987750	123371.8077175382	17941.2820812369	0.0000000000	184.1662544461	0.0000000000	2404.9957847977	1426.3820844506	20	12	184.1662544461	3|4|5|7|8|9
1	PERSISTENT_WIDE_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	7	134858.8533615743	121948.7235255771	12910.1298359972	0.0000000000	131.8392906315	0.0000000000	2723.6081811370	1583.6205289174	20	10	131.8392906315	2|3|4|5|7|8|9
1	PERSISTENT_WIDE_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	8	132505.5140721791	127814.1210275481	4691.3930446310	0.0000000000	47.2138051705	0.0000000000	3001.6843418743	1745.1917293506	20	8	47.2138051705	2|3|4|5|7|8|9|10
1	PERSISTENT_WIDE_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	9	130915.6890874888	129467.0142908856	1448.6747966032	0.0000000000	16.0394739790	0.0000000000	3380.1810725932	1930.3284270246	20	5	16.0394739790	1|2|3|4|5|7|8|9|10
1	CURRENT_LANE_TIERS	1	REALIZED	1235.6231319459	9	2	90050.5629444042	52142.4768291370	37908.0861152673	0.0000000000	379.9493166531	0.0000000000	954.3570251389	397.1673027416	16	14	379.9493166531	3|11
1	CURRENT_LANE_TIERS	1	REALIZED	1235.6231319459	9	3	73982.2879695510	58108.0087721163	15874.2791974347	0.0000000000	158.2953935207	0.0000000000	1514.0360630925	602.6298756874	17	11	158.2953935207	3|7|11
1	CURRENT_LANE_TIERS	1	REALIZED	1235.6231319459	9	4	62997.9752341696	54276.3648237274	8721.6104104423	0.0000000000	100.2023978334	0.0000000000	1594.5502472704	654.6312312800	20	7	100.2023978334	0|3|6|11
1	CURRENT_LANE_TIERS	1	REALIZED	1235.6231319459	9	5	54913.9982171985	50868.7542393143	4045.2439778842	0.0000000000	34.2191972855	0.0000000000	2154.2292852240	860.0938042258	20	3	34.2191972855	0|3|6|7|11
1	CURRENT_LANE_TIERS	1	REALIZED	1235.6231319459	9	6	50401.5824495453	48053.7679384215	2347.8145111238	0.0000000000	17.5637954115	0.0000000000	2532.7260159429	983.5182693418	20	3	17.5637954115	0|1|3|6|7|11
1	CURRENT_LANE_TIERS	1	REALIZED	1235.6231319459	9	7	48161.3526034214	46909.7668678474	1251.5857355740	0.0000000000	10.4599617435	0.0000000000	2810.8021766803	1091.2324029640	20	2	10.4599617435	0|1|3|6|7|10|11
1	CURRENT_LANE_TIERS	1	REALIZED	1235.6231319459	9	8	47065.5155298343	46265.9268117339	343.4922637397	456.0964543607	4.5987702587	35.3517181962	3129.4145730196	1196.0580326085	20	2	4.5987702587	0|1|2|3|6|7|10|11
1	CURRENT_LANE_TIERS	1	REALIZED	1235.6231319459	9	9	46706.9666292495	45688.0322541931	325.1255536801	693.8088213763	2.1495294852	57.4501911586	3437.2572944138	1266.1440400373	20	2	2.1495294852	0|1|2|3|5|6|7|8|9
