design	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	context_market	context_trend	context_promotion	context_attention	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
DENSE_INDEPENDENT_LEVELS	2	15	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	1712.3771900940	0.5234548573	1.0000000000	0.0364165312	0.1377450629	69193.3550569632	24500.9815997014	121165.9283944461	139335.9941658608	207054.9452395198	0.0224762066	2271.6398001749
DENSE_INDEPENDENT_LEVELS	2	15	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	1712.3771900940	0.5234548573	1.0000000000	0.0364165312	0.1377450629	68902.7889212349	24760.5797457240	119146.9607490496	138936.6952869995	205268.4603272853	0.0295665119	1566.8211392749
DENSE_INDEPENDENT_LEVELS	2	15	CSAA	Optimal	true	74576.9212637695	6.530229876e-05	3.320130	32.6618812292	9	2|3|4|5|6|8|9|10|11	1712.3771900940	0.5234548573	1.0000000000	0.0364165312	0.1377450629	69839.7829014402	23899.9094883701	119746.6380510641	138311.8991437366	195871.0877466846	0.0229001116	2987.8369586114
DENSE_INDEPENDENT_LEVELS	2	16	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	1987.3195142146	0.7072200916	1.0000000000	0.1006306065	0.4864877230	82413.4937867998	30501.4895552030	136821.5151037964	165778.2776307919	219936.9711796908	0.0356364790	1373.4118602137
DENSE_INDEPENDENT_LEVELS	2	16	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	1987.3195142146	0.7072200916	1.0000000000	0.1006306065	0.4864877230	82724.6177350940	30708.0642635002	137010.7955841836	166080.6986798523	223328.9404584296	0.0452867321	969.0117311793
DENSE_INDEPENDENT_LEVELS	2	16	CSAA	Optimal	true	76113.9838016941	0.000000000	4.218674	31.1789548283	9	2|3|4|6|7|8|9|10|11	1987.3195142146	0.7072200916	1.0000000000	0.1006306065	0.4864877230	82413.4937867998	30501.4895552030	136821.5151037964	165778.2776307919	219936.9711796908	0.0356364790	1373.4118602137
DENSE_INDEPENDENT_LEVELS	2	17	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2256.8462553799	0.6370860120	1.0000000000	0.9678465162	0.0127847996	102213.7864208544	39901.4257963039	180856.2170954057	211752.3050321169	282216.0319352290	0.0576255289	710.9504346440
DENSE_INDEPENDENT_LEVELS	2	17	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2256.8462553799	0.6370860120	1.0000000000	0.9678465162	0.0127847996	102322.4574649966	39821.6091464840	182504.2353229701	211356.4408202471	279067.8005667684	0.0706920527	510.3188606771
DENSE_INDEPENDENT_LEVELS	2	17	CSAA	Optimal	true	95378.6585236673	0.000000000	2.351888	16.7957764145	9	0|2|4|5|6|8|9|10|11	2256.8462553799	0.6370860120	1.0000000000	0.9678465162	0.0127847996	101642.8576185789	38831.7485638970	179739.1396988719	208694.7153532878	276054.4249048964	0.0631439879	846.0133448015
DENSE_INDEPENDENT_LEVELS	2	18	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2261.9560706701	0.2622267300	1.0000000000	0.5232446920	0.9742599306	102602.9300878637	41096.2147816298	183170.6154090291	219200.2256095829	333883.4540710882	0.0549307404	759.2976284904
DENSE_INDEPENDENT_LEVELS	2	18	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2261.9560706701	0.2622267300	1.0000000000	0.5232446920	0.9742599306	102868.1524102586	40819.2179261468	181826.2024915544	217967.2247560084	330815.8777126345	0.0673861171	540.6937652800
DENSE_INDEPENDENT_LEVELS	2	18	CSAA	Optimal	true	79593.2906694816	3.092118106e-05	3.349410	25.8174403218	9	2|3|4|6|7|8|9|10|11	2261.9560706701	0.2622267300	1.0000000000	0.5232446920	0.9742599306	102602.9300878637	41096.2147816298	183170.6154090291	219200.2256095829	333883.4540710882	0.0549307404	759.2976284904
DENSE_INDEPENDENT_LEVELS	2	19	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2227.7629262343	0.5462342043	1.0000000000	0.7389118976	0.3378769852	99919.1451908873	37843.4373712049	168260.2533598990	195473.7064850155	282669.2973343045	0.0473435820	773.3839321801
DENSE_INDEPENDENT_LEVELS	2	19	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2227.7629262343	0.5462342043	1.0000000000	0.7389118976	0.3378769852	100035.1541587381	37673.6186067524	169086.6171579362	194504.3319281075	280485.0156149619	0.0582816133	550.4657987290
DENSE_INDEPENDENT_LEVELS	2	19	CSAA	Optimal	true	87418.9384702232	0.000000000	1.167213	31.9591474368	9	0|2|4|5|6|8|9|10|11	2227.7629262343	0.5462342043	1.0000000000	0.7389118976	0.3378769852	99399.4139165640	36300.6277637710	165648.0201998410	189914.6307848500	278431.7829720195	0.0503108913	919.0904210805
DENSE_WIDE_POSITIVE	3	0	D	Optimal	true	66873.6583878676	0.000000000	0.003862	1.0000000000	9	0|1|4|5|6|7|8|9|10	1940.9143464836	0.7443093233	1.0000000000	0.2627732809	0.1615608587	77338.7187760358	26119.2108071801	127352.8415318421	156349.2554884498	211418.0017038260	0.0211517676	635.7730325645
DENSE_WIDE_POSITIVE	3	0	SAA	Optimal	true	76492.6740194429	0.000000000	0.733663	60.0000000000	9	0|1|4|5|6|7|8|9|10	1940.9143464836	0.7443093233	1.0000000000	0.2627732809	0.1615608587	77338.7187760358	26119.2108071801	127352.8415318421	156349.2554884498	211418.0017038260	0.0211517676	635.7730325645
DENSE_WIDE_POSITIVE	3	0	CSAA	Optimal	true	77275.4477426148	0.000000000	0.574665	29.0949631080	9	0|1|4|5|6|7|8|9|10	1940.9143464836	0.7443093233	1.0000000000	0.2627732809	0.1615608587	77338.7187760358	26119.2108071801	127352.8415318421	156349.2554884498	211418.0017038260	0.0211517676	635.7730325645
DENSE_WIDE_POSITIVE	3	1	D	Optimal	true	66873.6583878676	0.000000000	0.003862	1.0000000000	9	0|1|4|5|6|7|8|9|10	2132.7614642103	0.8249523922	1.0000000000	0.1814428979	0.6775994457	93019.9645960510	33567.6804384956	159231.2157624506	184113.6294188709	229302.4295561099	0.0330013019	395.6971389610
DENSE_WIDE_POSITIVE	3	1	SAA	Optimal	true	76492.6740194429	0.000000000	0.733663	60.0000000000	9	0|1|4|5|6|7|8|9|10	2132.7614642103	0.8249523922	1.0000000000	0.1814428979	0.6775994457	93019.9645960510	33567.6804384956	159231.2157624506	184113.6294188709	229302.4295561099	0.0330013019	395.6971389610
DENSE_WIDE_POSITIVE	3	1	CSAA	Optimal	true	82210.3289408656	0.000000000	0.761979	33.7802980508	9	0|1|4|5|6|7|8|9|10	2132.7614642103	0.8249523922	1.0000000000	0.1814428979	0.6775994457	93019.9645960510	33567.6804384956	159231.2157624506	184113.6294188709	229302.4295561099	0.0330013019	395.6971389610
DENSE_WIDE_POSITIVE	3	2	D	Optimal	true	66873.6583878676	0.000000000	0.003862	1.0000000000	9	0|1|4|5|6|7|8|9|10	2604.7351083345	0.8599276674	1.0000000000	0.9923525610	0.8820810371	119010.4610873228	45270.3513579899	211351.9476952984	243386.5049979666	319032.3907687318	0.0509876079	152.4689865417
DENSE_WIDE_POSITIVE	3	2	SAA	Optimal	true	76492.6740194429	0.000000000	0.733663	60.0000000000	9	0|1|4|5|6|7|8|9|10	2604.7351083345	0.8599276674	1.0000000000	0.9923525610	0.8820810371	119010.4610873228	45270.3513579899	211351.9476952984	243386.5049979666	319032.3907687318	0.0509876079	152.4689865417
DENSE_WIDE_POSITIVE	3	2	CSAA	Optimal	true	86219.0117012916	0.000000000	0.595164	25.8574934032	9	0|1|4|5|6|7|8|9|10	2604.7351083345	0.8599276674	1.0000000000	0.9923525610	0.8820810371	119010.4610873228	45270.3513579899	211351.9476952984	243386.5049979666	319032.3907687318	0.0509876079	152.4689865417
DENSE_WIDE_POSITIVE	3	3	D	Optimal	true	66873.6583878676	0.000000000	0.003862	1.0000000000	9	0|1|4|5|6|7|8|9|10	2020.6007846808	0.9129541553	1.0000000000	0.2031994514	0.2141196497	83578.5532765540	28868.6055745849	139635.0764357762	165956.8231914729	226603.6660595828	0.0253775618	474.7908225920
DENSE_WIDE_POSITIVE	3	3	SAA	Optimal	true	76492.6740194429	0.000000000	0.733663	60.0000000000	9	0|1|4|5|6|7|8|9|10	2020.6007846808	0.9129541553	1.0000000000	0.2031994514	0.2141196497	83578.5532765540	28868.6055745849	139635.0764357762	165956.8231914729	226603.6660595828	0.0253775618	474.7908225920
