replication	volatility	capacity_scale	penalty_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
2	HIGH	0.60	1.00	D	0.00	Optimal	true	87963.3040317606	1.156683178e-06	0.010246	9	0|1|4|5|6|8|9|10|11	145708.3298690587	69718.0937263693	277294.0690805321	329942.0462498874	503079.6555794413	0.2834524686	2193.3074010133	0.6841446424
2	HIGH	0.60	1.00	SAA	0.00	Optimal	true	114301.9161856743	2.732972693e-08	2.610589	9	0|2|3|4|6|8|9|10|11	145270.3259365633	70229.7587130923	276588.3424505433	329943.3270760593	501646.5693800616	0.2942977320	1297.3495342066	0.6841590426
2	HIGH	0.60	1.00	CSAA	0.00	Optimal	true	115830.2111312777	3.344829576e-05	2.547489	9	0|2|3|4|6|8|9|10|11	145270.3259365633	70229.7587130923	276588.3424505433	329943.3270760593	501646.5693800616	0.2942977320	1297.3495342066	0.6841590426
2	HIGH	0.60	1.00	C_CHI2	0.50	PrimalFeasible	true	142968.7811113900	0.000000000	11.715313	9	0|2|3|4|6|8|9|10|11	145270.3259365633	70229.7587130923	276588.3424505433	329943.3270760593	501646.5693800616	0.2942977320	1297.3495342066	0.6841590426
2	HIGH	0.60	2.00	D	0.00	Optimal	true	88315.8238973057	0.000000000	0.008541	9	0|1|4|5|6|8|9|10|11	147596.1125459563	68340.8889994734	277365.1448458969	330148.4889669882	503093.0118233605	0.2822718986	3410.1764276413	0.6852718260
2	HIGH	0.60	2.00	SAA	0.00	Optimal	true	117025.2599352733	3.637871808e-05	2.563488	9	0|2|3|4|6|8|9|10|11	146381.8877182705	69296.7926966987	277045.2648678849	329955.4317659888	501646.5693800616	0.2928921349	1987.8886998463	0.6855217305
2	HIGH	0.60	2.00	CSAA	0.00	Optimal	true	118285.2622446509	9.197709982e-05	2.513475	9	0|2|3|4|6|8|9|10|11	146381.8877182705	69296.7926966987	277045.2648678849	329955.4317659888	501646.5693800616	0.2928921349	1987.8886998463	0.6855217305
2	HIGH	0.60	2.00	C_CHI2	0.50	PrimalFeasible	true	144513.5403559269	9.645672850e-05	6.924442	9	0|2|3|4|6|8|9|10|11	146381.8877182705	69296.7926966987	277045.2648678849	329955.4317659888	501646.5693800616	0.2928921349	1987.8886998463	0.6855217305
2	HIGH	0.60	5.00	D	0.00	Optimal	true	88315.8238973057	0.000000000	0.009537	9	0|1|4|5|6|8|9|10|11	151779.9747962653	64976.1825944143	277365.1448458969	330428.6078673349	503093.0118233605	0.2809977604	6234.4830486199	0.6864883466
2	HIGH	0.60	5.00	SAA	0.00	Optimal	true	124016.9062866628	0.000000000	3.290480	9	0|2|3|4|6|8|9|10|11	148791.7523392414	67134.1448593421	277505.1999440216	329989.7067617077	501646.5693800616	0.2921748485	3673.4042550242	0.6862171200
