replication	design	base_cv	top5_share	mean_loading_cosine	mean_context_share_tv	q95_context_share_tv	total_conditional_mean_cv	mean_lane_q90_q10_ratio
123	three_level_original_coefficients	0.7938055334	0.2415671418	0.9717979937	0.0089673217	0.0138627155	0.1305758684	1.4118990804
124	three_level_original_coefficients	0.8104737736	0.2442857932	0.9773469069	0.0084727078	0.0136701206	0.1273238674	1.3927833181
125	three_level_original_coefficients	0.8281352977	0.2499515890	0.9702873944	0.0095332882	0.0152366979	0.1288477305	1.4212729658
126	three_level_original_coefficients	0.7992106942	0.2495398077	0.9731399612	0.0086711442	0.0133676598	0.1317735193	1.4245659310
127	three_level_original_coefficients	0.8345327227	0.2496881954	0.9782296234	0.0083663307	0.0132862420	0.1299554812	1.4156738748
128	three_level_original_coefficients	0.8533518202	0.2498620335	0.9690836462	0.0095014135	0.0143403641	0.1343000730	1.4320785218
129	three_level_original_coefficients	0.7954543569	0.2399664056	0.9725188207	0.0086818740	0.0136422189	0.1295628850	1.4188945704
130	three_level_original_coefficients	0.8255790141	0.2376527915	0.9706520106	0.0092535175	0.0139218273	0.1345680430	1.4370576937
131	three_level_original_coefficients	0.8151214895	0.2417439154	0.9747791295	0.0089558029	0.0141175825	0.1339896614	1.4378539099
132	three_level_original_coefficients	0.8223636103	0.2395405152	0.9734493893	0.0088883710	0.0139652810	0.1317609719	1.4199468459
133	three_level_original_coefficients	0.7454711786	0.2256272412	0.9771609929	0.0086996075	0.0130243806	0.1346545417	1.4219492060
134	three_level_original_coefficients	0.7849210927	0.2409120664	0.9681794774	0.0101630276	0.0163268208	0.1336633565	1.4438907628
135	three_level_original_coefficients	0.8241417669	0.2464555926	0.9734999668	0.0091609227	0.0139804806	0.1297222698	1.4124847637
136	three_level_original_coefficients	0.8240975795	0.2460935889	0.9721171606	0.0088749240	0.0136798622	0.1285814403	1.4158801184
137	three_level_original_coefficients	0.7892575353	0.2396291914	0.9730794119	0.0084435952	0.0129787154	0.1283223731	1.4059054989
138	three_level_original_coefficients	0.7845102557	0.2476225805	0.9749714919	0.0085190193	0.0129528859	0.1330252601	1.4331882775
139	three_level_original_coefficients	0.8165690803	0.2369237486	0.9704151272	0.0097961336	0.0151616007	0.1300514345	1.4184977208
140	three_level_original_coefficients	0.8127130037	0.2377923461	0.9699612267	0.0095545626	0.0156042563	0.1331890895	1.4335561149
141	three_level_original_coefficients	0.8088212943	0.2471625853	0.9776817615	0.0086572734	0.0134108271	0.1278530375	1.4130762270
